proId,GrossWeight,NetWeight,DiamondWeight,MakingCharges,Karat,DiamondRate,colorStone,colorStoneDes,wSalePrice,images[0],images[1],images[2],images[3]
SMDRN20230004,4.23 + 7.88,4 + 7.84,0.15 + 0.2,1500,18kt Gold,145000,0,,92220,collectionAssets/Diamond/Rings/SMDRN20230004.webp,collectionAssets/Diamond/Rings/SMDRN20230004.1.webp,collectionAssets/Diamond/Rings/SMDRN20230004.2.webp,
SMDRN20230008,4.85 + 4.85,3.9 + 3.9,0.25 + 0.25,1500,18kt Gold,100000,37575,4.5ct  zambian,106364,collectionAssets/Diamond/Rings/SMDRN20230008.webp,,,
SMDRN20230023,2.5 + 10.5,2.33 + 10.48,0.85 + 0.12,2000,Platinum,296940,0,,263682,collectionAssets/Diamond/Rings/SMDRN20230023.webp,collectionAssets/Diamond/Rings/SMDRN20230023.1.webp,collectionAssets/Diamond/Rings/SMDRN20230023.2.webp,collectionAssets/Diamond/Rings/SMDRN20230023.3.webp
SMDRN20230025,4.8 + 11.25,4.77 + 11.21,0.15 + 0.2,2000,Platinum,145000,0,,94464,collectionAssets/Diamond/Rings/SMDRN20230025.webp,collectionAssets/Diamond/Rings/SMDRN20230025.1.webp,collectionAssets/Diamond/Rings/SMDRN20230025.2.webp,
SMDRN20230026,3.7 + 3.43,3.64 + 3.34,0.29 + 0.46,1500,18kt Gold,100000,0,,76686,collectionAssets/Diamond/Rings/SMDRN20230026.webp,collectionAssets/Diamond/Rings/SMDRN20230026.1.webp,collectionAssets/Diamond/Rings/SMDRN20230026.2.webp,collectionAssets/Diamond/Rings/SMDRN20230026.3.webp
SMDRN20230027,3.15 + 3.22,2.79 + 2.86,0.31 + 0.32,1500,18kt Gold,100000,1000,,64219,collectionAssets/Diamond/Rings/SMDRN20230027.webp,collectionAssets/Diamond/Rings/SMDRN20230027.1.webp,,
SMDRN20230033,2.79 + 3.54,2.71 + 3.5,0.39 + 0.18,1500,18kt Gold,100000,0,,63363,collectionAssets/Diamond/Rings/SMDRN20230033.webp,collectionAssets/Diamond/Rings/SMDRN20230033.1.webp,,
SMDRN20230034,4.27 + 3.39,4.19 + 3.33,0.4 + 0.29,1500,18kt Gold,108448,0,,79717,collectionAssets/Diamond/Rings/SMDRN20230034.webp,collectionAssets/Diamond/Rings/SMDRN20230034.1.webp,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
